Accesion	Protein Description	Genes	# of Peptides	1-sort	2-sort	3-sort	4-sort		1-unsort	2-unsort	3-unsort	4-unsort
Q6NXK5	RNA/RNP complex-1-interacting phosphatase	Dusp11	1	27379.8	171073	42172.1	NaN		83159	182300	NaN	NaN
Q6PCL9	Poly(A) polymerase gamma	Papolg	1	31265.4	171009	118680	227219		86025.3	245199	84236.7	216159
G5E8K5;Q02357;Q8C8R3	Ankyrin-3	Ank1;Ank2;Ank3	2	369485	170876	222303	222504		357889	243541	69711.6	323724
Q9DAX9	Amyloid protein-binding protein 2	Appbp2	5	28535.2	170873	140934	278359		86160	111554	90989.1	351116
Q9CPV0	Transmembrane protein 107	Tmem107	1	69360	170770	333240	NaN		198639	NaN	NaN	87978.7
A0A338P7C9	Transmembrane protein 181A	Tmem181a	2	328066	170429	210918	187062		291841	NaN	289227	154209
Q8CHX7	Raftlin-2	Rftn2	5	291706	169861	247263	143612		242188	223252	208920	131467
Q61147	Ceruloplasmin	Cp	4	183878	169708	NaN	494811		258050	114083	582086	591113
Q9CPQ3	Mitochondrial import receptor subunit TOM22 homolog	Tomm22	3	391283	169122	573623	360317		NaN	NaN	336229	481486
O89084	"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"	Pde4a	3	179319	168419	282658	NaN		116964	310791	140424	109006
P43024	"Cytochrome c oxidase subunit 6A1, mitochondrial"	Cox6a1	2	44299.4	167956	145904	274444		NaN	115562	153254	NaN
Q9QXL1;Q9QXL2	Kinesin-like protein KIF21B	Kif21a;Kif21b	2	243253	167425	301899	434188		322230	286343	274769	422322
Q8CI70	Leucine-rich repeat-containing protein 20	Lrrc20	3	369833	166925	429930	209764		558241	285180	505597	305365
Q69ZH9	Rho GTPase-activating protein 23	Arhgap23	9	254820	166914	322470	259673		219582	207779	373265	341128
Q68FD9	UPF0606 protein KIAA1549	Kiaa1549	4	147439	165512	323435	180518		185039	169941	135527	185810
Q80YR7	Claspin	Clspn	3	NaN	165442	73010.6	310775		NaN	376238	NaN	202418
Q6PEV3	WAS/WASL-interacting protein family member 2	Wipf2	4	169939	165436	254106	320944		122216	217399	256515	518170
Q9D8P7	General transcription factor 3C polypeptide 6	Gtf3c6	2	143015	165252	323846	230754		218270	219016	209116	134901
Q60714	Long-chain fatty acid transport protein 1	Slc27a1	6	137229	165155	252489	164185		130329	130727	529838	473723
Q9CYY7	PRELI domain containing protein 3B	Prelid3b	2	69731.8	164881	NaN	411017		NaN	158045	181168	438738
P26687	Twist-related protein 1	Twist1	1	NaN	164469	276597	495716		NaN	NaN	196593	441096
O88425	Nucleoside diphosphate kinase 6	Nme6	4	274252	164465	400285	271506		177080	126590	584526	736854
Q3U1C4	SECIS-binding protein 2	Secisbp2	2	178448	164323	104943	162114		131232	223844	104583	225091
B2RXC8	3222402P14Rik protein	Ppp2r3a	8	359177	164192	482941	483229		318269	233240	555687	342000
Q80VP1;Q91W69	Epsin-1	Epn1;Epn3	1	224499	163198	191833	271655		NaN	276493	273026	169794
P63044	Vesicle-associated membrane protein 2	Vamp2	2	164957	163079	NaN	85559.5		201248	182569	43097.2	314912
Q9D8B6	"Protein FAM210B, mitochondrial"	Fam210b	2	485809	162458	338537	324288		382537	291536	301347	325942
Q9D8C4	Interferon-induced 35 kDa protein homolog	Ifi35	3	543024	162141	512142	492904		402222	863207	564365	568151
Q8BTW8	Mitochondrial tRNA methylthiotransferase CDK5RAP1	Cdk5rap1	3	NaN	162087	438760	534910		139038	252188	NaN	473566
Q7TN37	Transient receptor potential cation channel subfamily M member 4	Trpm4	6	199010	161010	490525	216198		486683	153390	359035	197871
Q5SUE8	Ankyrin repeat domain-containing protein 40	Ankrd40	4	294717	160680	185833	196611		291201	498013	315598	147971
Q00558	40-kDa huntingtin-associated protein	F8a1	1	114898	160663	315236	164819		102037	127323	213362	122622
Q8K2Z8	Ubiquitin-conjugating enzyme E2 Q2	Ube2q2	2	58422.6	160322	NaN	592892		154793	200489	NaN	277954
Q8BG48	Serine/threonine-protein kinase 17B	Stk17b	2	73325.7	159367	NaN	114290		NaN	243613	NaN	134783
B7ZNL9	TatD DNase domain-containing 2	Tatdn2	2	74783.3	158723	38548.6	125003		176603	145456	120204	86537.9
Q9WVH4	Forkhead box protein O3	Foxo3	4	397504	157827	228641	464140		353273	269502	260980	380932
Q9QYM8	Centromere protein H	Cenph	1	NaN	157817	NaN	143086		NaN	219897	43204.3	92239.7
O89113	Immediate early response gene 5 protein	Ier5	3	122654	157295	NaN	107955		188149	128950	NaN	127295
Q8BZ36	RAD50-interacting protein 1	Rint1	3	NaN	157097	84992.5	150633		NaN	167637	106866	182936
Q9QUK3	Protein CLN8	Cln8	3	209297	156744	248847	409900		169985	174479	360958	362251
Q61602	Transcriptional activator GLI3	Gli3	5	200016	156482	325562	182905		120526	246588	242997	184717
Q6P5E8	Diacylglycerol kinase theta	Dgkq	3	NaN	155431	187616	259934		125362	178369	106395	319434
Q8BKH7	Target of rapamycin complex 2 subunit MAPKAP1	Mapkap1	3	NaN	155423	114178	364129		267631	NaN	NaN	67755.9
Q8BH66	Atlastin-1	Atl1	2	NaN	155365	279346	322632		NaN	NaN	170005	329665
Q6Y7W8;Q9D0F1;Q9QZQ1	GRB10-interacting GYF protein 2	Afdn;Gigyf2;Ndc80	1	37462.5	155351	NaN	104255		71799.3	31214.1	NaN	129348
Q9CWS1	E3 ubiquitin-protein ligase RNF135	Rnf135	2	336818	154745	NaN	146754		143926	96415.9	NaN	212356
E9PYP2	Neurobeachin-like 1	Nbeal1	10	247215	154653	225480	323936		431524	246556	348136	332625
Q8VHQ4	Ras-related protein Rab-40C	Rab40c	2	155140	154421	189339	50285.2		292500	77115	87272.6	NaN
Q3TNA1	Xylulose kinase	Xylb	2	NaN	153719	49892	315897		NaN	244133	74385.6	170933
Q9DCK3	Tetraspanin-4	Tspan4	1	NaN	152525	310158	130920		NaN	210261	151095	39282.7
Q99JP0	Mitogen-activated protein kinase kinase kinase kinase 3	Map4k3	4	208651	152446	153572	232930		199144	135070	144048	253644
Q8K0L9	Zinc finger and BTB domain-containing protein 20	Zbtb20	1	NaN	151884	210725	418558		NaN	NaN	270986	348982
Q6P5D4	Centrosomal protein of 135 kDa	Cep135	3	181969	151205	NaN	228443		NaN	149606	NaN	124701
E9PUL5	Proline-rich transmembrane protein 2	Prrt2	1	NaN	150513	NaN	57387.9		188937	211024	NaN	90775.6
P06795;Q9DC29	ATP-dependent translocase ABCB1	Abcb1b;Abcb6	1	NaN	150376	202893	196328		156198	260603	172064	126026
Q9JJC9	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein	Herpud2	1	148593	150323	NaN	NaN		101630	146456	NaN	102237
Q32M21	Gasdermin-A2	Gsdma2	2	135724	150218	619781	55999.8		163534	172515	69544.9	447557
Q9EPR4	Solute carrier family 23 member 2	Slc23a2	2	180190	149816	276955	232806		121587	161089	206845	256915
P19001	"Keratin, type I cytoskeletal 19"	Krt19	1	NaN	149632	848408	252291		NaN	2879610	NaN	937959
Q8K2G4	Bardet-Biedl syndrome 7 protein homolog	Bbs7	3	NaN	149384	174241	150669		NaN	319375	160675	176250
Q6P9Y7	Zinc finger protein 82	Zfp82	2	258869	149339	88819.8	61650.3		149955	142238	69555.7	29289.5
Q99LC9	Peroxisome assembly factor 2	Pex6	8	240886	149022	333112	513022		161077	308684	319416	548151
Q9D2H6	Transcription factor Sp2	Sp2	2	245278	148968	307538	271023		186934	166804	42591.3	NaN
Q9JJK5	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein	Herpud1	1	307365	148926	213959	NaN		202788	233501	168024	80784
B8JJX8;Q91W94	Zinc finger protein 738	Zfp65;Zfp738	1	129419	148908	NaN	127242		NaN	202381	171413	318881
Q9CTN4	Rho-related BTB domain-containing protein 3	Rhobtb3	4	204786	148862	229201	211507		248864	372093	205514	201577
Q7TN22	Thioredoxin domain-containing protein 16	Txndc16	1	NaN	148771	89683	184848		48403.9	95861.5	97321.7	238083
Q8BGS3	Zinc finger protein with KRAB and SCAN domains 1	Zkscan1	3	189109	148692	177033	202510		170017	142425	110889	189663
Q9R0E1;Q9R0E2	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	Plod1;Plod3	2	185644	148589	306804	429277		NaN	429492	315625	282087
A0A1Y7VK00	Zinc finger protein 825	Zfp825	2	120368	148441	213502	99438.5		48345.4	NaN	263015	151900
Q9D9A7	Putative protein PTGES3L	Ptges3l	1	NaN	148144	306751	550093		NaN	167248	610936	392919
Q3U2C5	E3 ubiquitin-protein ligase RNF149	Rnf149	3	NaN	147989	54510.6	70713.8		49464.3	97072.5	NaN	100445
Q9CRB5	Prolactin-7C1	Prl7c1	1	243973	147070	337215	357131		NaN	137786	253739	310581
Q14B71	Cell division cycle-associated protein 2	Cdca2	4	118969	146919	68028.8	191383		98873.3	160196	75232.1	180561
Q9CQ20	Mid1-interacting protein 1	Mid1ip1	2	70510.1	146198	NaN	61201.7		242581	418473	NaN	55918.3
Q9JJZ6	Krueppel-like factor 13	Klf13	1	195968	145854	123157	167245		237110	358669	134324	153426
O70172	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	Pip4k2a	2	116546	145724	227903	255085		106683	103578	176136	309013
Q99LE1	RILP-like protein 2	Rilpl2	3	NaN	145491	323436	169001		534407	903297	304157	268827
Q9DB70	FUN14 domain-containing protein 1	Fundc1	2	296652	144881	206342	521096		167599	232228	266845	704867
Q91V08	C-type lectin domain family 2 member D	Clec2d	4	200839	144803	414516	107846		243920	114013	288453	372275
Q9JHD2	Histone acetyltransferase KAT2A	Kat2a	2	77909	144545	NaN	129041		NaN	NaN	NaN	NaN
Q7TQC5	Aprataxin	Aptx	2	34619.8	144523	116694	69350.5		140737	124446	142912	75106.7
Q8K296;Q91XS1	Myotubularin-related protein 3	Mtmr3;Mtmr4	1	194280	144495	56226.1	223748		197444	195102	94670.4	57742.5
Q0PHV7	Dapper homolog 3	Dact3	4	356916	144295	507212	287095		298987	266349	515844	428288
Q9QYI6	DnaJ homolog subfamily B member 9	Dnajb9	1	NaN	143837	41910.6	125021		NaN	163003	36927.8	115478
Q61124	Battenin	Cln3	2	NaN	143788	NaN	152936		NaN	101700	121311	187072
Q3U2U7	"Methyltransferase-like protein 17, mitochondrial"	Mettl17	2	66785.9	143540	355206	703760		107281	127772	190288	861854
Q8CFC7	CLK4-associating serine/arginine rich protein	Clasrp	2	198517	143377	642232	369057		110652	NaN	477476	304721
O70161	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	Pip5k1c	2	165181	143345	NaN	108988		NaN	157816	55684.7	83678.5
P70266;Q6DTY7	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1"	Pfkfb1;Pfkfb4	1	247690	143315	89822.7	238811		260897	307568	623139	322902
Q9CPQ5	Centromere protein Q	Cenpq	3	223309	142448	188669	204799		157646	172714	127514	193197
Q5BL07	Peroxisome biogenesis factor 1	Pex1	3	NaN	142141	307199	60363.5		NaN	99153.5	341006	NaN
Q5U4E2	Replication initiator 1	Repin1	2	341302	141606	236857	327263		478621	443107	199199	226462
B9EJ57;Q8CHZ9	"Transcription termination factor 1b, mitochondrial"	Mterf1a;Mterf1b	1	80354.2	141583	205832	160527		45547.9	111100	252651	162831
Q3V3N7	Bardet-Biedl syndrome 1 protein homolog	Bbs1	2	124850	141542	146032	30045.1		143657	199679	62213.8	185681
Q5NCX5	Neuralized-like protein 4	Neurl4	3	142597	140529	125351	178692		NaN	269650	87567.6	119889
Q91Z49	UAP56-interacting factor	Fyttd1	5	693638	140156	624066	488347		591609	988604	539883	501198
Q91VL9	Zinc finger and BTB domain-containing protein 1	Zbtb1	4	153731	140030	196837	329303		78058.7	234870	178135	201932
B2RQC2	Ubiquitin carboxyl-terminal hydrolase 42	Usp42	2	153835	139953	151796	94543.8		268634	140208	NaN	150697
Q61781;Q6IFX2;Q9Z2K1	"Keratin, type I cytoskeletal 14"	Krt14;Krt16;Krt42	1	NaN	139789	2092810	1577320		751866	9490390	575476	2679880
Q80U38	Protein KHNYN	Khnyn	7	152891	139327	417612	280097		214843	168190	434834	293747
Q8R216	"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial"	Sirt4	1	176630	139095	373847	226090		112321	92572.7	297126	312834
P22725	Protein Wnt-5a	Wnt5a	2	263192	139036	229920	50247		157670	236506	76570.3	297315
Q9DCN1	NAD-capped RNA hydrolase NUDT12	Nudt12	3	249696	138989	125616	191482		NaN	NaN	153708	235994
O70299	Putative nucleotidyltransferase MAB21L1	Mab21l1	4	NaN	138940	294912	282024		89800.7	176200	316304	339426
P70270	DNA repair and recombination protein RAD54-like	Rad54l	1	NaN	138033	41271.3	NaN		66128.9	71649.7	NaN	68814.1
Q9D9H8	Mitochondrial protein C2orf69 homolog		4	293574	137689	104747	242044		NaN	185849	252382	243008
Q3TAE8	"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase"	Alg6	1	61067.9	137406	404237	456217		NaN	NaN	381870	350814
A2A5Z6;Q9CUN6	E3 ubiquitin-protein ligase SMURF2	Smurf1;Smurf2	5	92569	137274	338814	311920		104023	129415	241440	284931
Q8K448	Cholesterol transporter ABCA5	Abca5	3	110178	136770	200693	51539.1		226032	NaN	163269	63004
O54750	Cytochrome P450 2J6	Cyp2j6	4	180734	136609	306922	418041		247060	172254	135852	356458
Q8BKY8	"Transcription termination factor 2, mitochondrial"	Mterf2	3	324178	135715	275272	231730		NaN	121276	392188	192120
Q99KU1	Dehydrodolichyl diphosphate synthase complex subunit Dhdds	Dhdds	4	108361	135264	232970	311891		106409	174770	97796.9	295783
Q80Y32	HMG box domain-containing 4	Hmgxb4	2	87410.7	135156	483351	428213		102140	118341	429587	286018
E9Q289	Acyl-Coenzyme A-binding domain-containing 4	Acbd4	2	394396	135116	450417	273088		181228	281898	328835	178247
B2RW11	Ankyrin repeat domain 34A	Ankrd34a	2	NaN	134879	97455.8	245008		NaN	NaN	185113	213997
Q60954	Homeobox protein Meis1	Meis1	4	178623	134674	268346	NaN		NaN	NaN	158736	130695
B8JKV0	Protein AMN1 homolog	Amn1	2	232641	134666	158643	NaN		196860	177201	NaN	234735
Q9WV68	"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]"	Decr2	4	123000	134642	490023	431604		191727	NaN	294564	226157
P60487	Chronophin	Pdxp	2	NaN	134187	117728	249411		124534	117818	178325	174926
Q920D3	Mediator of RNA polymerase II transcription subunit 28	Med28	1	372032	133991	212506	185943		72923.2	132305	NaN	136319
Q99KS6	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase	Adprm	1	NaN	133861	211482	242594		NaN	NaN	325749	337908
Q8CH36	Proton-coupled amino acid transporter 4	Slc36a4	1	201297	133827	155149	200147		127675	110608	NaN	241001
Q8R1Z9	RING finger protein 121	Rnf121	4	638868	133821	632090	227605		555921	481791	404334	277739
O08785	Circadian locomoter output cycles protein kaput	Clock	4	111706	133511	180665	166189		124790	351088	139426	145194
P62137;P62141	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	Ppp1ca;Ppp1cb	1	NaN	133212	311820	312521		NaN	NaN	390004	207243
Q8VC74	"Cytochrome c oxidase assembly protein COX18, mitochondrial"	Cox18	3	333827	132734	270337	311803		251842	NaN	292984	307090
Q8K2I9	F-box DNA helicase 1	Fbh1	8	233658	132252	336844	372758		270034	276843	321998	296153
Q8BH70	F-box/LRR-repeat protein 4	Fbxl4	2	161866	132223	220721	86536.5		110525	107841	194901	149098
Q811C2	Cysteine protease ATG4C	Atg4c	1	NaN	132067	87981.3	131493		NaN	70037.3	NaN	194285
Q80SY6	Adenosine deaminase-like protein	Adal	2	207471	131486	471312	634422		NaN	79121.7	NaN	564009
Q9Z1E3	NF-kappa-B inhibitor alpha	Nfkbia	2	488555	131153	678472	368973		788494	818148	718721	327682
Q8VC48	Peroxisome assembly protein 12	Pex12	2	363501	130326	424053	416803		336044	299788	495664	471548
Q9DBU5	E3 ubiquitin-protein ligase RNF6	Rnf6	5	291222	130047	134070	116443		122142	159950	NaN	133143
Q8C145	Zinc transporter ZIP6	Slc39a6	3	124815	128196	279889	126187		164139	213976	240124	95119.6
Q9CRA9	FGFR1 oncogene partner 2 homolog	Fgfr1op2	5	313550	127806	221603	390610		200603	243421	262229	399525
Q8R2Q8	Bone marrow stromal antigen 2	Bst2	3	194272	127569	184466	118531		148093	NaN	243930	123013
Q91WA6	Sharpin	Sharpin	3	93071.2	127183	224294	88867.9		134765	117969	202041	251674
Q9D684	Ras and Rab interactor 2	Rin2	2	83061.1	126365	67476.9	62956.5		136587	113631	142783	157735
Q62273	Sulfate transporter	Slc26a2	1	NaN	126217	179238	115863		NaN	139460	197275	219968
A2AIG8	1-aminocyclopropane-1-carboxylate synthase-like protein 1	Accs	1	NaN	125174	192017	138439		NaN	NaN	183661	201381
E9Q236	ATP-binding cassette sub-family C member 4	Abcc4	2	64729.7	124549	NaN	152702		NaN	114889	161768	191142
Q6ZQ06	Centrosomal protein of 162 kDa	Cep162	2	83286.5	124451	46433.8	216550		NaN	87717.7	NaN	118772
Q62392	Pleckstrin homology-like domain family A member 1	Phlda1	1	NaN	124137	NaN	477837		29381	122859	NaN	393182
Q80XS6;Q8CBY1	Protein Smaug homolog 2	Samd4a;Samd4b	1	NaN	123876	290554	84073.3		186095	NaN	210432	85276.3
A2A8L5	Receptor-type tyrosine-protein phosphatase F	Ptprf	3	118081	123680	95734.2	231898		NaN	17553.6	NaN	NaN
Q8QZY6	Tetraspanin-14	Tspan14	2	102183	123563	148573	655639		NaN	77184.1	445194	489204
Q9QUK6	Toll-like receptor 4	Tlr4	3	168248	123358	291664	363501		151574	159704	163048	293811
E9PUQ3	NKAP domain-containing 1	Nkapd1	3	149812	122430	161562	152763		136672	205909	141986	217173
Q60952	Centrosome-associated protein CEP250	Cep250	4	63667.1	122426	143930	203496		90766	126353	151310	206070
Q8BL99	Protein dopey-1	Dop1a	3	188205	121999	164727	106566		271046	178009	NaN	91393
Q8BPS4	Integral membrane protein GPR180	Gpr180	3	546595	121761	432748	375375		433998	465610	354402	412436
A3KGF9;Q8VC31	Coiled-coil domain-containing protein 9B	Ccdc9;Ccdc9b	1	297521	121466	240006	430769		447425	246400	539898	271761
Q8VCF1	Soluble calcium-activated nucleotidase 1	Cant1	5	NaN	121441	678516	631773		375939	NaN	626842	524095
A3KGF9	Coiled-coil domain-containing protein 9B	Ccdc9b	6	327175	120703	227431	166322		368439	263528	219998	221748
Q8BJU9	"Peptide chain release factor 1-like, mitochondrial"	Mtrf1l	1	76027.1	120606	NaN	78110.3		NaN	58198.5	86297	60726.8
Q80UG2	Plexin-A4	Plxna4	6	NaN	120128	61024.2	298889		NaN	144685	127230	284067
Q3V384	AFG1-like ATPase	Afg1l	4	168294	120118	318264	308884		148171	182255	406580	393056
O35945	"Aldehyde dehydrogenase, cytosolic 1"	Aldh1a7	1	544707	120021	NaN	271142		1052630	NaN	NaN	200941
P70178	Homeobox protein SIX5	Six5	2	217565	120019	166330	107930		139845	160590	111697	113791
P70265;Q6DTY7	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2"	Pfkfb2;Pfkfb4	1	NaN	118974	NaN	NaN		134719	229469	105557	NaN
Q9CZB6	Mediator of RNA polymerase II transcription subunit 7	Med7	3	119926	118841	NaN	141843		119023	76997.2	NaN	152327
Q924L1	LETM1 domain-containing protein 1	Letmd1	3	244550	118734	231397	326843		43746.6	31946.6	280996	265797
Q8K0V2	DCN1-like protein 3	Dcun1d3	3	198126	116751	209735	311822		140668	170516	90806.9	188725
O08580	Steroid hormone receptor ERR1	Esrra	2	108054	116601	113969	416243		96428.8	91999.4	35126.9	262270
Q505G8	Zinc finger protein 827	Znf827	2	520793	116594	145603	120152		NaN	NaN	205218	43316.1
Q8K3E5	Jouberin	Ahi1	1	138159	115946	92639.6	224575		120686	147857	NaN	189472
Q8HWB0	Major histocompatibility complex class I-related gene protein	Mr1	2	NaN	114021	277970	252852		259932	159891	128835	450770
Q7TS72	Inositol-trisphosphate 3-kinase C	Itpkc	3	116579	113904	124101	93095.8		89740.8	NaN	149006	91955.1
Q5SPW0	Vacuolar protein sorting-associated protein 54	Vps54	2	146599	112780	300323	239022		77948.1	NaN	264806	386996
Q64705	Upstream stimulatory factor 2	Usf2	2	500902	112658	302104	272925		422080	408523	311741	147794
Q3TYD6	Serine/threonine-protein kinase LMTK2	Lmtk2	2	206514	111453	173204	184572		139815	NaN	138694	162012
P58043;Q9CYP7	Sestrin-2	Sesn2;Sesn3	1	94067.8	111107	452254	417106		104689	56340.8	348682	344967
P70180	Atrial natriuretic peptide receptor 3	Npr3	10	493931	110811	1040520	325752		577728	193920	820213	280173
Q80WC1	Ubinuclein-2	Ubn2	3	NaN	110799	457034	497916		NaN	NaN	435618	353907
G3UW78;Q3V1F1;Q99N17	"Cytochrome P450, family 4, subfamily f, polypeptide 17"	Cyp4f16;Cyp4f17;Cyp4f37	2	105418	108953	198534	221817		240146	64930.2	92316	246774
Q5SV80	Unconventional myosin-XIX	Myo19	4	36212.7	107745	50032.7	67042.6		NaN	99657.4	136623	183611
Q920S3	GATA zinc finger domain-containing protein 1	Gatad1	3	360477	107192	344306	514139		307372	85514.2	334744	508087
P30681;P63158	High mobility group protein B2	Hmgb1;Hmgb2	3	NaN	105907	1009290	856106		2469760	137239	NaN	3600290
E9Q6P5	Tetratricopeptide repeat protein 7B	Ttc7b	3	NaN	105723	315996	327787		NaN	NaN	320968	398276
Q9Z1M7	LARGE xylosyl- and glucuronyltransferase 1	Large1	6	120744	105504	305212	119761		159793	56779.2	313202	116457
Q9CZR3	Mitochondrial import receptor subunit TOM40B	Tomm40l	5	103291	105035	423407	391251		746028	143866	470323	470933
Q64525	Histone H2B type 2-B	Hist2h2bb	5	350749	103037	257098	408565		238627	397879	96931.3	207453
Q3U3E2	Protein FAM117B	Fam117b	3	209650	102468	69151.2	156111		116585	189819	117951	112902
Q91XB0	Three-prime repair exonuclease 1	Trex1	1	NaN	102348	88869.7	97035.3		NaN	29519.6	57691.3	175739
Q9CPV3	"39S ribosomal protein L42, mitochondrial"	Mrpl42	2	32210.9	101942	572381	435374		NaN	127204	271146	540762
Q9JJI6	GPI ethanolamine phosphate transferase 3	Pigo	2	60371.5	101698	65752.1	117113		NaN	NaN	61912.4	133865
F8VQG7	NEDD4-binding protein 2	N4bp2	1	133924	101276	62245.1	80129.3		128897	109972	64190.8	41683.6
Q8VCM5	Mitochondrial ubiquitin ligase activator of NFKB 1	Mul1	3	53377.8	100955	42632.1	92912.9		26709.3	112491	NaN	133059
Q9D7E4	UPF0449 protein C19orf25 homolog		2	84486.2	100872	NaN	44726.4		81309.2	92746	NaN	107223
Q9R0A5	Serine/threonine-protein kinase Nek3	Nek3	3	123184	100608	203397	232061		148149	185179	245142	220674
Q8BZ21	Histone acetyltransferase KAT6A	Kat6a	5	71177.1	100513	245786	237898		80932.3	74863.6	NaN	92652.8
Q8VBY2	Calcium/calmodulin-dependent protein kinase kinase 1	Camkk1	2	79071.4	100154	80022.5	26667.2		56945	219228	44086.8	72079.1
Q9JIL5	Tubby-related protein 4	Tulp4	4	70258.6	99392.9	229685	269015		NaN	161651	176763	291674
Q9QYT7	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q	Pigq	3	NaN	99100.8	338141	227367		124007	488163	214225	278411
Q3UH06	Ras-responsive element-binding protein 1	Rreb1	2	NaN	98836.6	181684	NaN		286901	86941.4	95617	NaN
Q6IFZ6	"Keratin, type II cytoskeletal 1b"	Krt77	3	NaN	98823	1027520	103699		24037.3	21880.1	89609.9	416759
Q99LL3	Carbohydrate sulfotransferase 12	Chst12	2	NaN	98804.2	380377	426649		149540	281287	286338	375135
Q9DC29	ATP-binding cassette sub-family B member 6	Abcb6	2	113193	98650.8	136287	196106		150162	78007.6	138317	263910
Q9D1Z3	ATP synthase subunit C lysine N-methyltransferase	Atpsckmt	2	67966.8	98474.5	122307	141755		NaN	NaN	22386	120295
Q9Z172	Small ubiquitin-related modifier 3	Sumo3	1	NaN	98438.7	118940	110977		NaN	NaN	NaN	99634.9
Q6PG16	Holliday junction recognition protein	Hjurp	4	77404	98422	63824.5	262993		183091	132104	71134.9	209767
Q6NXH3	Vasculin	Gpbp1	4	315458	96891.6	238756	168935		396119	288801	155112	141613
A2A716	Oxysterol-binding protein	Osbpl7	2	NaN	96859.3	132213	176525		NaN	127578	NaN	189617
Q91ZJ0	Crossover junction endonuclease MUS81	Mus81	2	NaN	96184.1	80119.8	179662		NaN	NaN	146229	146139
Q9D486	C-Maf-inducing protein	Cmip	2	165406	95564.6	266259	75134.2		NaN	275308	127611	300220
Q9DAV9	Trimeric intracellular cation channel type B	Tmem38b	1	142449	95533.4	207757	188367		145643	83621.4	539452	240133
Q8BTK5	SET and MYND domain-containing protein 4	Smyd4	3	55716.9	94751	66906	228429		40463.1	98009.2	NaN	110392
A2AVA0	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"	Svep1	3	157961	94235.6	159087	NaN		140876	293120	184051	109451
Q8K013	GTP-binding protein 10	Gtpbp10	1	NaN	93174	315231	207382		84144.4	NaN	NaN	221248
A2AWP8	Rho guanine nucleotide exchange factor 10-like protein	Arhgef10l	1	NaN	93154.5	170098	NaN		NaN	36001.1	186781	143680
A3KGV1	Outer dense fiber protein 2	Odf2	3	107807	92912.1	92434.7	102808		150844	111835	124235	109415
Q3UGF1	WD repeat-containing protein 19	Wdr19	3	88340.2	91409	136519	47535.7		120363	29859.1	106088	181228
Q810L3	E3 ubiquitin-protein ligase CHFR	Chfr	1	62631.5	90985.1	NaN	524065		128282	54112.9	134716	128228
Q6Q477	Plasma membrane calcium-transporting ATPase 4	Atp2b4	3	81837.1	90877.6	198060	161431		NaN	NaN	268295	60758.6
Q8R0T2	Zinc finger protein 768	Znf768	1	109980	90815.5	92562.1	NaN		103656	104226	NaN	66072.7
Q8BWD8	Cyclin-dependent kinase 19	Cdk19	1	56704.5	89544.4	90836.6	199668		24008.9	NaN	NaN	171664
Q8BXJ2	Transcriptional-regulating factor 1	Trerf1	3	NaN	89463.3	81691.6	203334		131710	NaN	116392	NaN
Q9DAU9	Zinc finger protein 654	Znf654	2	122788	88996.8	40925.4	301400		100811	63344.3	NaN	233396
P16092	Fibroblast growth factor receptor 1	Fgfr1	2	61304.3	88956.1	NaN	46934.8		NaN	79335.3	NaN	44252.2
Q3UZ01	RNA-binding region-containing protein 3	Rnpc3	4	272117	88380.9	221753	161164		289630	148711	191565	NaN
Q80U28	MAP kinase-activating death domain protein	Madd	1	130945	88255.6	115346	NaN		NaN	112873	NaN	NaN
A3KFM7	Chromodomain-helicase-DNA-binding protein 6	Chd6	9	308315	88106.2	270953	237827		405271	235005	130612	217063
Q8BMK0	Centrosomal protein of 85 kDa	Cep85	5	152210	87854.2	149572	247555		208747	182686	161666	224351
O54743	Forkhead box protein F2	Foxf2	2	136114	87627.5	113919	79093.7		125368	81523.1	123194	NaN
Q8VCG9	Regulatory factor X-associated protein	Rfxap	2	159556	87359.4	226514	299896		96432.4	69473.2	258250	252781
Q8BWL5	"RNA-binding motif, single-stranded-interacting protein 3"	Rbms3	1	NaN	86979.6	1309820	NaN		181470	860666	NaN	577581
Q8CID3	Pseudokinase FAM20A	Fam20a	1	NaN	86947.4	284378	314023		NaN	NaN	NaN	187908
Q8C4S8	DENN domain-containing protein 2A	Dennd2a	4	NaN	86224.8	203192	221867		NaN	NaN	189947	210334
Q924S8	"Sprouty-related, EVH1 domain-containing protein 1"	Spred1	3	NaN	86095.6	109637	98064.6		NaN	82428.5	NaN	116431
